Title,Ratings
Aspirants,9.7
Scam 1992: The Harshad Mehta Story,9.5
Breaking Bad,9.4
Avatar: The Last Airbender,9.3
The Wire,9.3
Rick and Morty,9.2
Game of Thrones,9.2
The Sopranos,9.2
Sherlock,9.1
Hagane no renkinjutsushi,9.1
Shingeki no kyojin,9.0
Death Note: Desu nôto,9.0
Firefly,9.0
Fargo,8.9
True Detective,8.9
The Office,8.9
Friends,8.9
The Mandalorian,8.8
Dark,8.8
One Punch Man: Wanpanman,8.8
Better Call Saul,8.8
Narcos,8.8
Peaky Blinders,8.8
Black Mirror,8.8
It's Always Sunny in Philadelphia,8.8
Twin Peaks,8.8
Seinfeld,8.8
Fleabag,8.7
This Is Us,8.7
Stranger Things,8.7
BoJack Horseman,8.7
House of Cards,8.7
Downton Abbey,8.7
The Boys,8.7
House M.D.,8.7
Battlestar Galactica,8.7
Rome,8.7
Arrested Development,8.7
Curb Your Enthusiasm,8.7
Six Feet Under,8.7
Dragon Ball Z,8.7
Freaks and Geeks,8.7
South Park,8.7
Cobra Kai,8.6
Mindhunter,8.6
The Crown,8.6
Daredevil,8.6
The Newsroom,8.6
Top Gear,8.6
Archer,8.6
